Timestamp,RPM,Speed,Throttle,Load
2025-07-13 18:00:00,1179,46,13,29
2025-07-13 18:00:01,1061,38,12,31
2025-07-13 18:00:02,1054,40,19,15
2025-07-13 18:00:03,1285,32,10,29
2025-07-13 18:00:04,1125,39,12,16
2025-07-13 18:00:05,1050,38,14,17
2025-07-13 18:00:06,1138,42,14,25
2025-07-13 18:00:07,1256,35,12,25
2025-07-13 18:00:08,1409,42,19,34
2025-07-13 18:00:09,1211,40,16,31
2025-07-13 18:00:10,1336,49,17,22
2025-07-13 18:00:11,1006,30,16,32
2025-07-13 18:00:12,1086,46,11,22
2025-07-13 18:00:13,1460,41,13,16
2025-07-13 18:00:14,1355,47,13,28
2025-07-13 18:00:15,1151,35,11,24
2025-07-13 18:00:16,1009,39,12,30
2025-07-13 18:00:17,1490,42,11,16
2025-07-13 18:00:18,1185,45,18,23
2025-07-13 18:00:19,1214,49,17,30
2025-07-13 18:00:20,1134,39,11,26
2025-07-13 18:00:21,1372,35,15,34
2025-07-13 18:00:22,1057,46,16,28
2025-07-13 18:00:23,1031,33,16,32
2025-07-13 18:00:24,1133,45,15,24
2025-07-13 18:00:25,1309,37,12,20
2025-07-13 18:00:26,1281,46,16,20
2025-07-13 18:00:27,1378,41,13,22
2025-07-13 18:00:28,1122,35,14,16
2025-07-13 18:00:29,1117,38,19,32
2025-07-13 18:00:30,1378,32,19,17
2025-07-13 18:00:31,1205,41,17,19
2025-07-13 18:00:32,1255,32,19,20
2025-07-13 18:00:33,1139,47,16,21
2025-07-13 18:00:34,1030,48,12,25
2025-07-13 18:00:35,1152,30,17,32
2025-07-13 18:00:36,1296,34,16,16
2025-07-13 18:00:37,1151,42,11,15
2025-07-13 18:00:38,1397,44,16,19
2025-07-13 18:00:39,1215,33,19,29
2025-07-13 18:00:40,1053,38,15,18
2025-07-13 18:00:41,1270,30,19,27
2025-07-13 18:00:42,1217,32,11,28
2025-07-13 18:00:43,1254,44,15,15
2025-07-13 18:00:44,1241,37,11,32
2025-07-13 18:00:45,1121,43,12,16
2025-07-13 18:00:46,1264,41,19,17
2025-07-13 18:00:47,1041,43,18,17
2025-07-13 18:00:48,1299,48,14,28
2025-07-13 18:00:49,1324,41,17,31
2025-07-13 18:00:50,1017,38,10,20
2025-07-13 18:00:51,1422,38,18,25
2025-07-13 18:00:52,1286,35,10,27
2025-07-13 18:00:53,1008,47,19,15
2025-07-13 18:00:54,1483,35,18,20
2025-07-13 18:00:55,1285,43,15,28
2025-07-13 18:00:56,1193,47,19,17
2025-07-13 18:00:57,1061,41,11,25
2025-07-13 18:00:58,1113,38,13,23
2025-07-13 18:00:59,1196,44,17,30
2025-07-13 18:01:00,1214,42,14,21
2025-07-13 18:01:01,1399,38,10,16
2025-07-13 18:01:02,1301,35,19,15
2025-07-13 18:01:03,1450,38,12,17
2025-07-13 18:01:04,2908,74,73,83
2025-07-13 18:01:05,2651,98,73,99
2025-07-13 18:01:06,2874,86,61,81
2025-07-13 18:01:07,3301,75,64,98
2025-07-13 18:01:08,3443,80,87,96
2025-07-13 18:01:09,2652,83,86,86
2025-07-13 18:01:10,2614,72,67,87
2025-07-13 18:01:11,2977,92,65,86
2025-07-13 18:01:12,3489,76,69,71
2025-07-13 18:01:13,3059,78,62,97
2025-07-13 18:01:14,2639,88,82,87
2025-07-13 18:01:15,3416,90,74,70
2025-07-13 18:01:16,2581,73,85,83
2025-07-13 18:01:17,3249,79,87,70
2025-07-13 18:01:18,2729,77,62,90
2025-07-13 18:01:19,3259,97,77,87
2025-07-13 18:01:20,3482,95,82,98
2025-07-13 18:01:21,2547,83,75,79
2025-07-13 18:01:22,3386,95,88,93
2025-07-13 18:01:23,3387,86,71,89
2025-07-13 18:01:24,3082,99,77,98
2025-07-13 18:01:25,2518,89,71,82
2025-07-13 18:01:26,2995,74,87,71
2025-07-13 18:01:27,3048,83,67,89
2025-07-13 18:01:28,2798,90,65,89
2025-07-13 18:01:29,2956,94,63,70
2025-07-13 18:01:30,3470,95,75,88
2025-07-13 18:01:31,3091,82,60,92
2025-07-13 18:01:32,2596,88,75,83
2025-07-13 18:01:33,2863,95,86,71
2025-07-13 18:01:34,2505,87,68,83
2025-07-13 18:01:35,2629,80,61,94
2025-07-13 18:01:36,3178,81,89,97
2025-07-13 18:01:37,2652,98,60,94
2025-07-13 18:01:38,3121,75,78,89
2025-07-13 18:01:39,3097,98,80,97
2025-07-13 18:01:40,3063,87,81,71
2025-07-13 18:01:41,2910,84,70,98
2025-07-13 18:01:42,2679,90,89,89
2025-07-13 18:01:43,3080,74,75,90
2025-07-13 18:01:44,3162,81,73,79
2025-07-13 18:01:45,3202,83,88,95
2025-07-13 18:01:46,2986,90,83,90
2025-07-13 18:01:47,2633,78,83,75
2025-07-13 18:01:48,2815,79,62,86
2025-07-13 18:01:49,2649,94,68,85
2025-07-13 18:01:50,3002,79,87,81
2025-07-13 18:01:51,3079,85,82,83
2025-07-13 18:01:52,2990,87,73,76
2025-07-13 18:01:53,3211,82,70,99
2025-07-13 18:01:54,2960,80,73,91
2025-07-13 18:01:55,2566,91,71,79
2025-07-13 18:01:56,3015,97,71,85
2025-07-13 18:01:57,3207,79,60,75
2025-07-13 18:01:58,3497,72,74,84
2025-07-13 18:01:59,3174,89,83,90
2025-07-13 18:02:00,3362,85,66,86
2025-07-13 18:02:01,2904,97,78,81
2025-07-13 18:02:02,3337,92,81,83
2025-07-13 18:02:03,3416,93,79,99
2025-07-13 18:02:04,3148,84,66,71
2025-07-13 18:02:05,2912,73,80,98
2025-07-13 18:02:06,2846,97,64,83
2025-07-13 18:02:07,2633,78,60,83
