Timestamp,RPM,Speed,Throttle,Load
2025-07-13 17:00:00,1344,46,15,33
2025-07-13 17:00:01,1528,48,17,33
2025-07-13 17:00:02,1517,49,23,20
2025-07-13 17:00:03,1281,42,27,36
2025-07-13 17:00:04,1544,54,27,33
2025-07-13 17:00:05,1556,59,26,34
2025-07-13 17:00:06,1530,55,23,32
2025-07-13 17:00:07,1243,47,21,27
2025-07-13 17:00:08,1464,40,29,25
2025-07-13 17:00:09,1375,57,16,26
2025-07-13 17:00:10,1275,41,27,27
2025-07-13 17:00:11,1558,49,24,37
2025-07-13 17:00:12,1502,44,27,25
2025-07-13 17:00:13,1472,47,12,36
2025-07-13 17:00:14,1507,57,20,37
2025-07-13 17:00:15,1228,56,24,36
2025-07-13 17:00:16,1212,40,14,24
2025-07-13 17:00:17,1307,51,15,33
2025-07-13 17:00:18,1351,41,10,34
2025-07-13 17:00:19,1213,42,20,28
2025-07-13 17:00:20,1517,45,15,35
2025-07-13 17:00:21,1522,50,21,23
2025-07-13 17:00:22,1492,41,26,37
2025-07-13 17:00:23,1420,58,10,32
2025-07-13 17:00:24,1495,58,26,30
2025-07-13 17:00:25,1377,50,28,39
2025-07-13 17:00:26,1597,59,23,33
2025-07-13 17:00:27,1280,58,19,30
2025-07-13 17:00:28,1443,55,14,23
2025-07-13 17:00:29,1275,42,26,22
2025-07-13 17:00:30,1576,52,18,25
2025-07-13 17:00:31,1251,56,15,21
2025-07-13 17:00:32,1438,43,15,23
2025-07-13 17:00:33,1348,49,28,30
2025-07-13 17:00:34,1308,52,11,38
2025-07-13 17:00:35,1317,59,17,29
2025-07-13 17:00:36,1283,57,26,21
2025-07-13 17:00:37,1489,40,22,39
2025-07-13 17:00:38,1382,43,24,21
2025-07-13 17:00:39,1272,45,22,24
2025-07-13 17:00:40,1482,52,10,31
2025-07-13 17:00:41,1392,57,21,39
2025-07-13 17:00:42,1252,50,14,26
2025-07-13 17:00:43,1244,53,18,39
2025-07-13 17:00:44,1353,51,24,29
2025-07-13 17:00:45,1533,55,16,36
2025-07-13 17:00:46,1204,41,23,27
2025-07-13 17:00:47,1533,58,13,23
2025-07-13 17:00:48,1555,51,29,22
2025-07-13 17:00:49,1560,53,28,20
2025-07-13 17:00:50,1320,51,23,29
2025-07-13 17:00:51,1294,49,19,37
2025-07-13 17:00:52,1323,57,24,37
2025-07-13 17:00:53,1516,49,24,20
2025-07-13 17:00:54,1499,42,23,23
2025-07-13 17:00:55,1335,58,28,26
2025-07-13 17:00:56,1589,40,19,24
2025-07-13 17:00:57,1503,45,20,23
2025-07-13 17:00:58,1335,51,20,28
2025-07-13 17:00:59,1200,46,14,39
2025-07-13 17:01:00,1310,48,11,30
2025-07-13 17:01:01,1435,44,24,25
2025-07-13 17:01:02,1547,45,25,20
2025-07-13 17:01:03,1485,40,20,22
2025-07-13 17:01:04,2731,81,61,78
2025-07-13 17:01:05,3211,74,76,81
2025-07-13 17:01:06,2976,83,76,97
2025-07-13 17:01:07,3494,74,61,73
2025-07-13 17:01:08,3453,95,75,99
2025-07-13 17:01:09,2807,77,86,78
2025-07-13 17:01:10,3195,80,70,82
2025-07-13 17:01:11,2514,92,70,73
2025-07-13 17:01:12,3182,78,58,77
2025-07-13 17:01:13,3323,95,87,82
2025-07-13 17:01:14,3334,75,65,96
2025-07-13 17:01:15,3212,87,80,91
2025-07-13 17:01:16,2619,70,68,86
2025-07-13 17:01:17,3494,83,80,92
2025-07-13 17:01:18,2527,71,77,72
2025-07-13 17:01:19,2846,98,75,90
2025-07-13 17:01:20,3063,79,83,87
2025-07-13 17:01:21,3136,85,75,93
2025-07-13 17:01:22,3360,79,67,79
2025-07-13 17:01:23,2976,74,83,70
2025-07-13 17:01:24,2547,77,67,72
2025-07-13 17:01:25,2635,86,57,98
2025-07-13 17:01:26,2636,78,71,92
2025-07-13 17:01:27,2613,93,53,83
2025-07-13 17:01:28,2852,74,72,89
2025-07-13 17:01:29,2628,74,61,87
2025-07-13 17:01:30,3428,91,75,90
2025-07-13 17:01:31,3118,96,64,80
2025-07-13 17:01:32,3295,71,51,71
2025-07-13 17:01:33,3459,85,68,77
2025-07-13 17:01:34,2592,98,68,88
2025-07-13 17:01:35,2663,75,55,90
2025-07-13 17:01:36,3218,81,69,79
2025-07-13 17:01:37,2678,76,61,93
2025-07-13 17:01:38,3063,80,87,94
2025-07-13 17:01:39,2741,99,58,78
2025-07-13 17:01:40,3264,77,53,86
2025-07-13 17:01:41,3394,77,57,88
2025-07-13 17:01:42,2533,79,57,92
2025-07-13 17:01:43,2637,77,72,73
2025-07-13 17:01:44,2677,87,64,91
2025-07-13 17:01:45,3046,72,74,90
2025-07-13 17:01:46,3292,79,59,86
2025-07-13 17:01:47,2948,94,85,77
2025-07-13 17:01:48,2692,95,50,99
2025-07-13 17:01:49,2873,76,74,87
2025-07-13 17:01:50,3329,98,84,72
2025-07-13 17:01:51,3231,74,83,77
2025-07-13 17:01:52,2831,89,57,83
2025-07-13 17:01:53,2949,87,75,98
2025-07-13 17:01:54,3181,95,83,99
2025-07-13 17:01:55,2680,91,54,84
2025-07-13 17:01:56,3244,96,51,86
2025-07-13 17:01:57,3351,90,54,82
2025-07-13 17:01:58,2758,91,72,79
2025-07-13 17:01:59,3474,92,71,92
2025-07-13 17:02:00,3122,93,56,91
2025-07-13 17:02:01,2604,85,80,87
2025-07-13 17:02:02,3356,77,67,97
2025-07-13 17:02:03,3020,97,50,82
2025-07-13 17:02:04,3294,83,72,79
2025-07-13 17:02:05,2889,93,51,76
2025-07-13 17:02:06,2959,90,78,73
2025-07-13 17:02:07,2636,93,54,88
